Grantor,Grantee,Grantee_Clean,Zip Code,Fiscal Year,Amount,Description,Category,Fiscal Period,Date
GOVERNOR'S OFFICE OF CRIME CONTROL AND PREVENTION,The Tree House Child Advocacy Center of Montgomery County MD Inc.,THE TREE HOUSE CHILD ADVOCACY CENTER OF MONTGOMERY COUNTY MD INC.,20855,2018,35000,MARYLAND VICTIMS OF CRIME,GRANT,1,06/30/2018 12:00:00 AM
DEPARTMENT OF HOUSING AND COMMUNITY DEVELOPMENT/RENTAL HOUSING PRODUCTION PRG - SPECIAL,Hilton- North Avenue LP,HILTON- NORTH AVENUE LP,21114,2012,1156361,HOUSING LOAN,GRANT,1,06/30/2012 12:00:00 AM
DEPARTMENT OF BUSINESS AND ECONOMIC DEVELOPMENT/MD SMALL BUSINESS DEVELOPMENT FINANCING AUTHORITY,CATI INC,"CATI, INC.",20743,2011,550000,"MSBDFA CONTRACT FINANCE LINE OF CREDIT OF $550,000 MAX",LOAN,1,06/30/2011 12:00:00 AM
MILITARY DEPARTMENT/MARYLAND EMERGENCY MANAGEMENT AGENCY (MEMA),SOUTHERN MD HOSPITAL CENTER,SOUTHERN MD HOSPITAL CENTER,20735,2017,165184.12,FEMA DR4261 PUBLIC ASSISTANCE,GRANT,1,06/30/2017 12:00:00 AM
BOARDS AND COMMISSIONS/GOVERNOR'S OFFICE OF CRIME CONTROL AND PREVENTION,Northwest Hospital Center,"NORTHWEST HOSPITAL CENTER, INC.",21133-5103,2011,25080.36,DOMESTIC VIOLENCE CASE MANAGER,GRANT,1,06/30/2011 12:00:00 AM
DEPARTMENT OF BUSINESS AND ECONOMIC DEVELOPMENT/MD STATE ARTS COUNCIL  -,NATIONAL PHILHARMONIC ORCH & CHORALE/MONT CO INC,NATIONAL PHILHARMONIC ORCHESTRA,20852,2012,88000,GRANTS FOR ART ORGANIZATION,GRANT,1,06/30/2012 12:00:00 AM
DEPARTMENT OF NATURAL RESOURCES/RURAL LEGACY PROGRAM,Patuxent Tidewater Land Trust,"PATUXENT TIDEWATER LAND TRUST, INC.",20650,2012,4738.95,JOHN LANCASTER FARM EASEMENT,GRANT,1,06/30/2012 12:00:00 AM
DEPARTMENT OF HUMAN RESOURCES/FAMILY INVESTMENT ADMINISTRATION,BENEFITS DATA TRUST,BENEFITS DATA TRUST,19103,2016,998436.88,"FUNDS ARE USED TO PROVIDE FOOD SUPPLEMENT OUTREACH PROGRAMS THAT PROVIDES MONTHLY BENEFITS TO ELIGIBLE LOW-INCOME INDIVIDUALS AND FAMILIES TO HELP THEM PURCHASE FOOD, PROVIDE NUTRITIONAL EDUCATION, PRE-SCREENING, APPLICATION ASSISTANCE AND FOLLOW-UP.",GRANT,1,06/30/2016 12:00:00 AM
DEPARTMENT OF HEALTH AND MENTAL HYGIENE/INFECTIOUS DISEASE & ENVIRONMENTAL HEALTH SERVICES,Maryland Partnership for Prevention,MARYLAND PARTNERSHIP FOR PREVENTION,21208,2012,1314000,IMMUNIZATION PROGRAM,GRANT,1,06/30/2012 12:00:00 AM
BOARDS AND COMMISSIONS/CENTER FOR VICTIMS AND THE LAW,"Maryland Crime Victims' Resource Center, Inc.","MARYLAND CRIME VICTIMS' RESOURCE CENTER, INC.",20774,2014,223572.84,MARYLAND VICTIMS OF CRIME,GRANT,1,06/30/2014 12:00:00 AM
"DEPARTMENT OF STATE POLICE/VEHICLE THEFT PREVENTION PROGRAM FOR YOUTH IN PRINCE GEORGE'S COUNTY, MD","Take Charge Juvenile Diversion Program, Inc.","TAKE CHARGE JUVENILE DIVERSION PROGRAM, INC.",20747,2014,90000,INCREASE PUBLIC AWARENESS TO STUDENTS & CITIZENS AND REDUCE JUVENILE INVOLVEMENT OF VEHICLE THEFT.,GRANT,1,06/30/2014 12:00:00 AM
MARYLAND ENERGY ADMINISTRATION/PV IN PARKING LOTS GRANTS PROGRAM,"Melwood Horticultural Training Center, Inc.","MELWOOD HORTICULTURAL TRAINING CENTER, INC.",20772-3602,2014,400000,GRANT FOR SOLAR CANOPY WITH CHARGING STATIONS IN PARKING LOTS,GRANT,1,06/30/2014 12:00:00 AM
BOARDS AND COMMISSIONS/GOVERNOR'S OFFICE OF CRIME CONTROL AND PREVENTION,"Cecil Partnerships for Children, Youth and Families","CECIL PARTNERSHIPS FOR CHILDREN, YOUTH AND FAMILIES",21921,2011,8597.76,PEER-TO-PEER ALCOHOL PREVENTION,GRANT,1,06/30/2011 12:00:00 AM
DEPARTMENT OF HOUSING AND COMMUNITY DEVELOPMENT/EMPOWER MD SMECCO,Southern Maryland Tri-County. Community Action Committee (SMTCCAC Inc.),"SOUTHERN MARYLAND TRI-COUNTY COMMUNITY ACTION COMMITTEE, INC (SMTCCAC INC)",20637,2014,732032,WEATHERIZATION ACTIVITIES/PRODUCTS,GRANT,1,06/30/2014 12:00:00 AM
DEPARTMENT OF PLANNING/HERITAGE AREAS AUTHORITY,"Mount Vernon Place Conservancy, Inc.","MOUNT VERNON PLACE CONSERVANCY, INC.",21231,2016,50000,"FY 2014 MARYLAND HERITAGE AREAS AUTHORITY - A COMPREHENSIVE RESTORATION OF THE WASHINGTON MONUMENT, MHAA FUNDING WILL SUPPORT THE MONUMENT’S MARBLE STONE REPOINTING.",GRANT,1,06/30/2016 12:00:00 AM
STATE DEPARTMENT OF EDUCATION/CHILDREN AT RISK,FOUNDATION FOR BLSYW,FOUNDATION FOR BALTIMORE LEADERSHIP SCHOOL FOR YOUNG WOMEN (BLSYW),21201,2016,72209,21ST CENTURY COMMUNITY LEARNING CENTERS,GRANT,1,06/30/2016 12:00:00 AM
DEPARTMENT OF AGRICULTURE/CONSERVATION GRANTS,TURNER FARMS INC,"TURNER FARMS, INC.",21632,2016,64701,COVER CROP COMMODITY,GRANT,1,06/30/2016 12:00:00 AM
DEPARTMENT OF HEALTH AND MENTAL HYGIENE - PREVENTION & HEALTH PROMOTION ADMINISTRATION,Black AIDS Institute,BLACK AIDS INSTITUTE,90057,2015,101999,HIV PREVENTION SERVICES,GRANT,1,06/30/2015 12:00:00 AM
JUDICIARY/MEDIATION AND CONFLICT RESOLUTION OFFICE,Anne Arundel Conflict Resolution Center,ANNE ARUNDEL CONFLICT RESOLUTION CENTER,21401,2009,75000,COMMUNITY MEDIATION PERFORMANCE GRANT FUNDS,GRANT,1,06/30/2009 12:00:00 AM
DEPARTMENT OF AGRICULTURE/CONSERVATION GRANTS,LEAGER FARMS,LEAGER FARMS,21668-1224,2011,95936,COVER CROP,GRANT,1,06/30/2011 12:00:00 AM
DEPARTMENT OF BUSINESS & ECONOMIC DEVELOPMENT/MD ECONOMIC DEVELOPMENT ASSISTANCE AUTHORITY AND FUND,OPGEN INC,OPGEN INC,20876,2010,100000,MD ECONOMIC DEVELOPMENT ASSISTANCE AUTHORITY AND FUND (MEDAAF) INVESTMENT,LOAN,1,06/30/2010 12:00:00 AM
DEPARTMENT OF BUSINESS AND ECONOMIC DEVELOPMENT - OFFICE OF BUSINESS DEVELOPMENT,Montgomery County Chamber Comm Foundation Inc,MONTGOMERY COUNTY CHAMBER COMM FOUNDATION INC,20850,2015,93106.31,ECONOMIC DEVELOPMENT GRANT,GRANT,1,06/30/2015 12:00:00 AM
DEPARTMENT OF NATURAL RESOURCES/CHESAPEAKE & ATLANTIC COASTAL BAYS TRUST FUND,Smithsonian Institute Environmental Research Center,SMITHSONIAN INSTITUTE ENVIRONMENTAL RESEARCH CENTER,20005,2014,83703.51,NORTH BRANCH MUDDY CREEK RESTORATION,GRANT,1,06/30/2014 12:00:00 AM
DEPARTMENT OF HOUSING & COMMUNITY DEVELOPMENT/NEIGHBORHOOD BUSINESS DEVELOPMENT,Jean Marie's LLC/J Marie's Restaurant,JEAN MARIE'S LLC/J MARIE'S RESTAURANT,20782,2010,135000,SMALL BUSINESS DEVELOPMENT LOAN,LOAN,1,06/30/2010 12:00:00 AM
DEPARTMENT OF NATURAL RESOURCES/GAME MANAGEMENT PROGRAM,Farmers and Hunters Feeding the Hungry,FARMERS AND HUNTERS FEEDING THE HUNGRY,21795,2013,248120,DEER DONATION PROGRAM TO FEED TO FOOD SHELTERS,GRANT,1,06/30/2013 12:00:00 AM
MARYLAND ENERGY ADMINISTRATION/LOW-TO-MODERATE INCOME (LMI) COMMUNITY GRANTS,B'nai B'rith Homecrest House (Montgomery) FY16,B'NAI B'RITH HOMECREST HOUSE (MONTGOMERY) FY16,20906,2016,190000,THE LOW AND MODERATE INCOME SECTOR,GRANT,1,06/30/2016 12:00:00 AM
FREEDOM FLEET VOUCHER PROGRAM,Roush CleanTech,ROUSH CLEANTECH,21701,2018,463425,FINANCIAL ASSISTANCE FOR THE PURCHASE OF NEW AND CONVERTED ALTERNATIVE FUELED VEHICLES REGISTERED IN THE STATE OF MARYLAND,GRANT,1,06/30/2018 12:00:00 AM
MARYLAND ENERGY ADMINISTRATION/MEEHA - MULTIFAMILY,North Creek Run,"NORTH CREEK RUN, LLC",21229-1470,2012,132500,BUILDING RETROFITS,GRANT,1,06/30/2012 12:00:00 AM
MARYLAND TECHNOLOGY DEVELOPMENT CORPORATION/FORT DETRICK TECHNOLOGY TRANSFER INITIATIVE (FDTTI),Biomedica Management Corp.,BIOMEDICA MANAGEMENT CORP.,21227,2009,50000,SUPPORT US ARMY MEDICAL TECHNOLOGY TRANSFER,GRANT,1,06/30/2009 12:00:00 AM
DEPARTMENT OF AGRICULTURE/RESOURCE CONSERVATION GRANTS,C RICHARD WEAVER,C RICHARD WEAVER,210481207,2017,79853.79,"TAXABLE GRANTS, CONTRIB &SUBS",GRANT,1,06/30/2017 12:00:00 AM
MILITARY DEPARTMENT/MARYLAND EMERGENCY MANAGEMENT AGENCY (MEMA),SHEPPARD PRATT HOSPITAL,SHEPPARD PRATT HOSPITAL,21204,2017,150201.58,SHEPPERD PRATT HEALTH SYSTEM INC,GRANT,1,06/30/2017 12:00:00 AM
GOVERNOR'S OFFICE OF CRIME CONTROL AND PREVENTION,"Baltimore Child Abuse Center, Inc.","BALTIMORE CHILD ABUSE CENTER, INC.",21218,2018,5307.69,MARYLAND VICTIMS OF CRIME,GRANT,1,06/30/2018 12:00:00 AM
JUDICIARY/DEPARTMENT OF FAMILY ADMINISTRATION,Voices for Children Inc,VOICES FOR CHILDREN INC,21044,2009,103590,ADVOCACY FOR CHILDREN IN FOSTER CARE,GRANT,1,06/30/2009 12:00:00 AM
DEPARTMENT OF HOUSING AND COMMUNITY DEVELOPMENT/HOUSING COUNSELING - STATE FUNDS,Washington County Community Action Council,WASHINGTON COUNTY COMMUNITY ACTION COUNCIL,21740,2011,20500,FORECLOSURE/HOUSING COUNSELING ACTIVITIES,GRANT,1,06/30/2011 12:00:00 AM
MARYLAND DEPARTMENT OF EDUCATION/FOOD SERVICES PROGRAM,KIDDIE CASTLE CHILD DEVELOPMENT CENTER INC,KIDDIE CASTLE CHILD DEVELOPMENT CENTER INC,21215,2014,103700.28,CASH FOR COMMODITIES- CHILD CARE,GRANT,1,06/30/2014 12:00:00 AM
MARYLAND STATE DEPARTMENT OF EDUCATION/DIV OF REHABILITATION SERVICES-HQ,FREEDOM CENTER INC,FREEDOM CENTER INC,21702,2011,62355,INDEPENDENT LIVING,GRANT,1,06/30/2011 12:00:00 AM
MARYLAND DEPARTMENT OF TRANSPORTATION - MARYLAND HIGHWAY SAFETY OFFICE,Washington College,WASHINGTON COLLEGE,21620 - 1197,2015,271890,MIN. PENALTY FOR REP. OFF. FOR DRIV W/INTOX,GRANT,1,06/30/2015 12:00:00 AM
DEPARTMENT OF AGRICULTURE/CONSERVATION GRANTS,"CLEARVIEW FARMS, INC.","CLEARVIEW FARMS, INC.",21643,2012,83311,COVER CROP,GRANT,1,06/30/2012 12:00:00 AM
BOARDS AND COMMISSIONS - GOVERNOR'S OFFICE OF CRIME CONTROL AND PREVENTION,Anne Arundel Medical Center,ANNE ARUNDEL MEDICAL SYSTEMS,21401,2015,6215,BYRNE - JUSTICE ASSISTANCE GRANT (JAG) PROGRAM INTEREST,GRANT,1,06/30/2015 12:00:00 AM
DEPARTMENT OF AGRICULTURE/MARKETING-TOBACCO TRANSITION,TRI-COUNTY COUNCIL FOR SOUTHERN MARYLAND,TRI-COUNTY COUNCIL FOR SOUTHERN MARYLAND,20637,2016,2231031.73,GRANTS TO NON-GOV ENTITIES,GRANT,1,06/30/2016 12:00:00 AM
GOVERNOR'S OFFICE OF CRIME CONTROL AND PREVENTION/GOVERNOR'S OFFICE OF CRIME CONTROL AND PREVENTION,Greater Baltimore Medical Center (GBMC),GREATER BALTIMORE MEDICAL CENTER (GBMC),21204,2017,27493,VIOLENCE AGAINST WOMEN,GRANT,1,06/30/2017 12:00:00 AM
DEPARTMENT OF TRANSPORTATION/FACILITIES AND CAPITAL EQUIPMENT,MILANI CONSTRUCTION LLC,"MILANI CONSTRUCTION, LLC",20020-7007,2014,106340.18,BIKEWAYS PROGRAM,GRANT,1,06/30/2014 12:00:00 AM
DEPARTMENT OF AGRICULTURE/RESOURCE CONSERVATION GRANTS,"ARBAUGH'S FLOWING SPRINGS, INC","ARBAUGH'S FLOWING SPRINGS, INC.",217919050,2017,70874.43,MANURE TRANSPORT,GRANT,1,06/30/2017 12:00:00 AM
DEPARTMENT OF HEALTH & MENTAL HYGIENE/PREVENTION AND DISEASE CONTROL,Allegany County Health Department,ALLEGANY COUNTY HEALTH DEPARTMENT,21501,2010,107000,MD CANCER FUND-TREATMENT,GRANT,1,06/30/2010 12:00:00 AM
MARYLAND DEPARTMENT OF PLANNING/MDP- HERITAGE AREAS AUTHORITY,"Heritage Alliance of Montgomery County, Inc.","HERITAGE ALLIANCE OF MONTGOMERY COUNTY, INC.",20876,2017,97065,FY 2016 & FY 2017 MHAA GRANTS - OPERATING ASSISTANCE,GRANT,1,06/30/2017 12:00:00 AM
MARYLAND HIGHWAY SAFETY,Chesapeake Region Safety Council,CHESAPEAKE REGION SAFETY COUNCIL,21244-2649,2018,276391.14,FUNDS THE LAW ENFORCEMENT LIAISONS WHO COORDINATE BETWEEN THE MARYLAND HIGHWAY SAFETY OFFICE (MHSO) AND LOCAL ENFORCEMENT AGENCIES.,GRANT,1,06/30/2018 12:00:00 AM
MD STEM CELL RESEARCH FUND,Theradaptive Inc.,"THERADAPTIVE, INC.",21704,2018,299005,STEM CELL RESEARCH GRANT,GRANT,1,06/30/2018 12:00:00 AM
DEPARTMENT OF THE ENVIRONMENT/BAY RESTORATION FUND - SEPTIC SYSTEMS,Canaan Valley Institute,CANAAN VALLEY INSTITUTE,26260,2013,931871,SEPTIC SYSTEM UPGRADE PROGRAM,GRANT,1,06/30/2013 12:00:00 AM
OPERATING ASSISTANCE GRANT,HABITAT FOR HUMANITY CHOPTANK INC,"HABITAT FOR HUMANITY CHOPTANK, INC.",21601,2018,25000,OPERATING ASSISTANCE GRANT,GRANT,1,06/30/2018 12:00:00 AM
DEPARTMENT OF HUMAN RESOURCES/OFFICE OF GRANTS MANAGEMENT,Optimal Solutions Group,OPTIMAL SOLUTIONS GROUP,20740,2010,268848,FUNDS ARE USED TO PROVIDE SERVICES TO DEVELOP PARENTING SKILLS AND ASSISTANCE WITH CHILD SUPPORT RELATED ISSUES TO ENABLE FATHERS TO BETTER MEET THE NEEDS OF THEIR CHILDREN,GRANT,1,06/30/2010 12:00:00 AM
MARYLAND STATE DEPARTMENT OF EDUCATION - TRANSITIONAL EDUCATION SCHOOL READINESS,Frederick Co Public Schools,FREDERICK CO PUBLIC SCHOOLS,21702 - 3006,2015,336894,HOYER-GENERAL FUNDS,GRANT,1,06/30/2015 12:00:00 AM
DEPARTMENT OF HOUSING AND COMMUNITY DEVELOPMENT/NBD CAPITAL LOAN & GRANTS,Keel's Auto Body Works LL,KEEL'S AUTO BODY WORKS LL,21795,2012,100000,WEATHERIZATION ACTIVITIES/PRODUCTS,GRANT,1,06/30/2012 12:00:00 AM
DEPARTMENT OF PLANNING/MDP - HISTORIC PRESERVATION GRANT PROGRAM,"Kennard Alumni Association, Inc.","KENNARD ALUMNI ASSOCIATION, INC.",21617,2013,25200,PROJECT WORK INCLUDES RESTORATION OF INTERIOR DOORS.,,1,06/30/2013 12:00:00 AM
DEPARTMENT OF HOUSING AND COMMUNITY DEVELOPMENT/WEATHERIZATION - MD ENERGY ASSISTANCE,Allegany Co Human Resources Development Commission Inc,"ALLEGANY CO. HUMAN RESOURCES DEVELOPMENT COMMISSION, INC.",21502,2011,90000,WEATHERIZATION ACTIVITIES/PRODUCTS,GRANT,1,06/30/2011 12:00:00 AM
GOVERNOR'S OFFICE OF CRIME CONTROL AND PREVENTION,"TurnAround, Inc. (Baltimore County)","TURNAROUND, INC.",21286,2018,8334,REIMBURSABLE FUNDS FROM MDH FOR SEXUAL ASSAULT/RAPE CRISIS GRANT PROGRAM (SARC) - RAPE CRISIS INTERVENTION,GRANT,1,06/30/2018 12:00:00 AM
DEPARTMENT OF PLANNING/MDP - MARYLAND HERITAGE AREAS AUTHORITY,"Annapolis, London Town & South County Heritage Area, Inc.","ANNAPOLIS, LONDON TOWN & SOUTH COUNTY HERITAGE AREA, INC.",21401,2010,85000,"FY 2008, 2009, 2010 MHAA OPERATING ASSISTANCE GRANTS - OPERATING ASSISTANCE TO SUPPORT STAFF SALARIES, OPERATION COSTS AND GENERAL OVERHEAD EXPENSES TO IMPLEMENT THE APPROVED HERITAGE AREA MANAGEMENT PLAN.",GRANT,1,06/30/2010 12:00:00 AM
GOVERNOR'S OFFICE OF CRIME CONTROL AND PREVENTION/GOVERNOR'S OFFICE OF CRIME CONTROL AND PREVENTION,"The Family Recovery Program, Inc.","THE FAMILY RECOVERY PROGRAM, INC.",21202,2017,73566,BYRNE - JUSTICE ASSISTANCE GRANT (JAG) PROGRAM,GRANT,1,06/30/2017 12:00:00 AM
MARYLAND DEPARTMENT OF EDUCATION/FOOD SERVICES PROGRAM,CENTRONIA,CENTRONIA,20912,2012,89905.14,FOOD SERVICE - CHILD CARE,GRANT,1,06/30/2012 12:00:00 AM
MARYLAND DEPARTMENT OF EDUCATION/FOOD SERVICES PROGRAM,EL SHADDAI HEALTH CARE INC,EL SHADDAI HEALTH CARE INC,21207,2014,200599.44,CASH FOR COMMODITIES- CHILD CARE,GRANT,1,06/30/2014 12:00:00 AM
DEPARTMENT OF AGING/STATE NUTRITION,"The Washington County Commission on Aging, Inc.","THE WASHINGTON COUNTY COMMISSION ON AGING, INC.",21740,2013,75637,MEALS FOR SENIORS,GRANT,1,06/30/2013 12:00:00 AM
JUDICIARY/DEPARTMENT OF FAMILY ADMINISTRATION,Court Appointed Special Advocates (CASA) of Baltimore County,COURT APPOINTED SPECIAL ADVOCATES (CASA) OF BALTIMORE COUNTY,21204,2014,132132,ADVOCACY FOR CHILDREN IN FOSTER CARE,GRANT,1,06/30/2014 12:00:00 AM
DEPARTMENT OF BUSINESS AND ECONOMIC DEVELOPMENT/MARYLAND STATE ARTS COUNCIL,ACADEMY ART MUSEUM,ACADEMY ART MUSEUM,21601,2011,63458,GRANTS TO ARTS ORGANIZATIONS,GRANT,1,06/30/2011 12:00:00 AM
DEPARTMENT OF AGRICULTURE/RESOURCE CONSERVATION CAPITAL GRANTS,JONATHAN C QUINN,JONATHAN C QUINN,21912,2017,105936.74,"OTHER GRANTS, SUBS & CONTRIBUTION",GRANT,1,06/30/2017 12:00:00 AM
FACILITIES AND CAPITAL EQUIPMENT,COACH & EQUIP / HUMANIM,COACH & EQUIP / HUMANIM,21046-1071,2018,193355.2,COACH & EQUIP - SMALL BUS,GRANT,1,06/30/2018 12:00:00 AM
DEPARTMENT OF BUSINESS AND ECONOMIC DEVELOPMENT/OFFICE OF BUSINESS SERVICES,UPPER SHORE REGIONAL COUNCIL,UPPER SHORE REGIONAL COUNCIL,21620,2012,50000,REGIONAL ECONOMIC DEVELOPMENT GRANT,GRANT,1,06/30/2012 12:00:00 AM
MARYLAND DEPARTMENT OF EDUCATION/FOOD SERVICES PROGRAM,RAINBOW ADULT DAY HEALTH CARE OF BALTO COUNTY LLC,RAINBOW ADULT DAY HEALTH CARE OF BALTO COUNTY LLC,21208,2012,142677.79,FOOD SERVICE - CHILD CARE,GRANT,1,06/30/2012 12:00:00 AM
GOVERNOR'S OFFICE OF CRIME CONTROL AND PREVENTION/GOVERNOR'S OFFICE OF CRIME CONTROL AND PREVENTION,"Heartly House, Inc.","HEARTLY HOUSE,  INC.",21705,2017,17721,REIMBURSABLE FUNDS FROM DHMH FOR SARC - COMMUNITY SEXUAL VIOLENCE PREVENTION,GRANT,1,06/30/2017 12:00:00 AM
DEPARTMENT OF BUSINESS AND ECONOMIC DEVELOPMENT - MD SMALL BUSINESS DEVELOPMENT FINANCING AUTHORITY (MSBDFA),Unified Solutions Services LLC,UNIFIED SOLUTIONS SERVICES LLC,21046,2015,112600,MSBDFA CONTRACT FINANCE - LINE OF CREDIT,LOAN,1,06/30/2015 12:00:00 AM
MARYLAND DEPARTMENT OF EDUCATION/TRANSITIONAL EDUCATION FUNDING,JOHN HOPKINS UNIVERSITY,JOHN HOPKINS UNIVERSITY,60693,2014,531233,HOYER,GRANT,1,06/30/2014 12:00:00 AM
MARYLAND HIGHER EDUCATION COMMISSION/AID TO NON PUBLIC INSTITUTIONS,Mount St Marys University,MOUNT ST MARY'S UNIVERSITY,21727,2012,1499795,SELLINGER FORMULA AID,GRANT,1,06/30/2012 12:00:00 AM
DIVISION OF EARLY CHILDHOOD DEVELOPMENT,PRINCE GEORGES CHILD RESOURCE CENTER INC,PRINCE GEORGE'S CHILD RESOURCE CENTER INC,20774,2018,148500,MARYLAND PRE-KINDERGARTEN EXPANSION,GRANT,1,06/30/2018 12:00:00 AM
MARYLAND STATE DEPARTMENT OF EDUCATION - EEARLY CHILDHOOD PRESCHOOL SPECIAL ED PGM,New Beginnings Christian Learning Center,NEW BEGINNINGS CHRISTIAN LEARNING CENTER,21787,2015,111527,PREKINDERGARTEN EXPANSION PROGRAM,GRANT,1,06/30/2015 12:00:00 AM
MARYLAND TECHNOLOGY COMMERCIALIZATION FUND,Cerebro Capital Inc.,CEREBRO CAPITAL INC.,21224,2018,100000,COMMERCIALIZATION INVESTMENT,LOAN,1,06/30/2018 12:00:00 AM
